,X,S,P,I,V
0.0,0.2764052345967664,40.06536185954403,0.0,0.0,1.0
0.5,0.16245094660934795,40.041573168340705,0.19558743101801138,0.0053227842676125845,1.0
1.0,0.2372564783986004,41.693529762586444,0.0,0.08096982756126661,1.074999999999998
1.5,0.3825752013914835,43.638874226379265,0.0,0.12887090233274207,1.153845332228199
2.0,0.3664125157570278,44.76145300472193,0.0,0.269107800444912,1.2367331510838726
2.5,0.10512225517124753,46.27365047459021,0.17611017061943243,0.29896617295655725,1.3238707192884938
3.0,0.3230392321150117,47.4937933283598,0.0,0.39292221548029854,1.4154759261505065
3.5,0.24002039392601685,48.802611028093764,0.1471595402193801,0.47324024009804777,1.511777832402087
4.0,0.27385054473645865,49.83703176753811,0.11890129611000724,0.5105919432612479,1.6130172429702865
4.5,0.3560681678233707,50.659541424651415,0.2907034808636417,0.5920693413091357,1.7194473091147808
5.0,0.36197976550796696,51.55714250235208,0.24821093357910776,0.5682185537105817,1.8313341614378753
5.5,0.5271953839101124,52.234372932466464,0.2323618068195723,0.6612736534497916,1.9489575753496389
6.0,0.4935677727613494,52.86386837629555,0.40271379543650176,0.6694746405267674,2.0726116706521482
6.5,0.4666934156740689,53.70667767743646,0.5075361855558675,0.701862016024226,2.202605646992203
7.0,0.5371891827112414,54.382523127502324,0.5346505725736169,0.7459843311888253,2.339264557021491
7.5,0.565499784099933,55.0659068143231,0.6256965057235093,0.7869830184430004,2.4829301191975333
8.0,0.7217503730431846,55.59390961564641,0.6036199423870212,0.8288061976584735,2.6339615722578182
8.5,0.592738248492683,55.924388017240865,0.7064987086286268,0.8209462024450265,2.792736573503768
9.0,0.6859898918882539,56.38450707570962,0.7552986591596706,0.9098511721508701,2.9596521431407026
9.5,0.6110333038631438,56.72687788966018,0.8703143707594221,0.9220111297034294,3.135125657035151
10.0,0.48304715324547215,57.07504910267769,0.9125046248410562,0.8855874081045497,3.3195958903719216
